City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Bata,GQ,2022-07-04 18:02:21,1.8639,9.7658,77.0,82,63,5.03
220,Qesarya,IL,2022-07-04 18:03:21,32.5189,34.9046,80.96,80,0,4.03
221,Gizo,SB,2022-07-04 18:03:21,-8.103,156.8419,81.55,77,26,5.46
222,Yuanping,CN,2022-07-04 18:03:21,38.7153,112.7575,67.59,83,66,1.23
223,Semirom,IR,2022-07-04 18:03:22,31.4167,51.5667,69.98,36,18,7.34
224,Khasan,RU,2022-07-04 18:03:22,42.4308,130.6434,64.89,92,54,6.08
225,Buchanan,LR,2022-07-04 18:03:22,5.8808,-10.0467,78.69,72,73,9.4
226,Xiaoshi,CN,2022-07-04 18:03:23,41.2971,124.1209,68.72,97,69,3.69
227,Chiang Rai,TH,2022-07-04 18:03:23,19.9167,99.9167,79.12,98,100,2.48
228,Severnoye,RU,2022-07-04 18:03:24,56.3491,78.3619,58.19,88,100,8.05
229,Bensonville,LR,2022-07-04 18:03:24,6.4461,-10.6125,81.95,76,81,7.72
230,Shelburne,CA,2022-07-04 17:59:04,44.0787,-80.2041,80.24,41,46,5.66
231,Natal,BR,2022-07-04 17:58:49,-5.795,-35.2094,86.22,66,75,16.11
232,Payyannur,IN,2022-07-04 17:58:56,12.1,75.2,76.53,88,100,7.58
233,Cabo San Lucas,MX,2022-07-04 18:01:03,22.8909,-109.9124,92.61,64,20,8.05
234,Aklavik,CA,2022-07-04 18:03:25,68.2191,-135.0107,81.77,39,17,8.81
235,Salalah,OM,2022-07-04 18:03:25,17.0151,54.0924,79.79,85,99,7.09
236,Dudinka,RU,2022-07-04 18:03:26,69.4058,86.1778,50.68,54,22,11.52
237,Matane,CA,2022-07-04 17:59:17,48.8286,-67.522,59.94,53,12,15.88
238,Alice Springs,AU,2022-07-04 18:01:31,-23.7,133.8833,31.55,80,0,6.91
239,Fukue,JP,2022-07-04 18:03:26,32.6881,128.8419,79.12,96,71,14.0
240,Mildura,AU,2022-07-04 18:03:26,-34.2,142.15,39.07,90,0,11.54
241,Thinadhoo,MV,2022-07-04 18:03:27,0.5333,72.9333,82.92,74,34,8.01
242,Otane,NZ,2022-07-04 18:03:27,-39.8833,176.6333,44.02,68,100,2.21
243,Richards Bay,ZA,2022-07-04 18:03:27,-28.783,32.0377,64.2,91,2,6.02
244,Northam,GB,2022-07-04 18:03:27,51.0333,-4.2167,63.61,72,86,11.72
245,Saint-Philippe,RE,2022-07-04 18:03:28,-21.3585,55.7679,66.22,77,19,9.91
246,Bogdanovich,RU,2022-07-04 18:03:28,56.7803,62.0494,49.21,76,100,13.51
247,Simao,CN,2022-07-04 18:03:28,22.7886,100.9748,67.12,98,87,1.41
248,Pucallpa,PE,2022-07-04 18:03:29,-8.3791,-74.5539,87.84,58,40,6.91
249,Vila Franca Do Campo,PT,2022-07-04 18:03:29,37.7167,-25.4333,68.41,68,67,7.74
250,Lazo,RU,2022-07-04 18:03:29,43.3817,133.9014,65.16,100,79,1.74
251,Hirara,JP,2022-07-04 18:03:29,24.8,125.2833,83.79,79,51,15.05
252,Caraballeda,VE,2022-07-04 18:03:30,10.6112,-66.8522,87.87,70,40,5.75
253,Derzhavinsk,KZ,2022-07-04 18:03:30,51.1,66.3167,60.12,81,100,19.26
254,Luena,AO,2022-07-04 18:03:30,-11.7833,19.9167,60.15,40,6,2.71
255,Isangel,VU,2022-07-04 18:03:31,-19.55,169.2667,75.78,80,33,12.71
256,Michalovce,SK,2022-07-04 18:03:31,48.7543,21.9195,79.56,33,50,11.27
257,Esperance,AU,2022-07-04 18:03:31,-33.8667,121.9,50.5,56,1,17.36
258,Deer Lake,CA,2022-07-04 18:03:31,49.1667,-57.4316,60.66,82,75,16.11
259,Okhotsk,RU,2022-07-04 18:03:32,59.3833,143.3,54.34,88,87,7.49
260,Kedgwick,CA,2022-07-04 18:03:32,47.6446,-67.3434,66.02,34,11,14.61
261,Plettenberg Bay,ZA,2022-07-04 18:03:32,-34.0527,23.3716,55.53,87,0,5.68
262,Coihaique,CL,2022-07-04 18:00:35,-45.5752,-72.0662,38.48,90,89,4.68
263,Donnacona,CA,2022-07-04 18:03:33,46.6804,-71.7239,72.19,48,92,10.98
264,Keti Bandar,PK,2022-07-04 18:04:33,24.1447,67.4497,88.02,73,43,3.42
265,Gushikawa,JP,2022-07-04 18:04:33,26.3544,127.8686,79.83,88,97,7.29
266,Inhambane,MZ,2022-07-04 18:04:33,-23.865,35.3833,67.84,84,0,6.15
267,Ust-Kulom,RU,2022-07-04 18:04:34,61.6864,53.6902,54.14,67,100,2.68
268,Naraina,IN,2022-07-04 18:04:34,26.7833,75.2,89.82,58,88,8.1
269,Eydhafushi,MV,2022-07-04 18:04:34,5.1033,73.0708,82.83,77,91,18.43
